"Caminho","Padrao","Linhas","Exemplo","Modificado"
"core_engines\gamaray_orchestrator.py","OMEGA-AMI-","4","OMEGA Intelligence OS | OMEGA-AMI-V3-GAMARAY-2026-0320","2026-04-21"
"core_engines\omega_harmonic_engine_v3.py","OMEGA-AMI-","3","Referência: OMEGA-AMI-V3-2026-0320","2026-04-24"
"core_engines\omega_module_v553.py","550550","122","magic_number: int = 550550","2026-04-21"
"modules\mt5_position_tag.py","OMEGA-AMI-","5;59","legíveis que começam por OMEGA-V2-, OMEGA-AMI-, OMEGA_SCALE_.","2026-05-03"
"modules\mt5_position_tag.py","OMEGA-V2-","5;58","legíveis que começam por OMEGA-V2-, OMEGA-AMI-, OMEGA_SCALE_.","2026-05-03"
"modules\mt5_position_tag.py","OV2\|","4;22","- Marca atual: prefixo env `OMEGA_POSITION_MARK` (default ""OV2|""), ou comentários","2026-05-03"
"modules\mt5_position_tag.py","OE_V5","62","or c.startswith(""OE_V5_"")","2026-05-03"
"scripts\build_omega_diagnostic_package_20260518.py","OV2\|","443;560","""comment_mark"": ""OV2|"",","2026-05-19"
"scripts\generate_ceo_operations_full_report.py","OV2\|","95;139;150;204;350","if ""OV2|"" in (comment or """"):","2026-05-18"
"live_drone_v5.py","V5\.3_","18;153","log_file = ""omega_v5.3_audit.log""","2026-04-24"
"live_drone_v5.py","EJECT_ALL","182","""comment"": ""EJECT_ALL"",","2026-04-24"
"main.py","\$\$\$","259","print(f""      [$$$] ORDEM REAL EXECUTADA! Ticket: {res.order} | {action} {symbol} @ {price}"")","2026-05-17"
"omega_turing_live.py","Turing_Bivariate","65","""deviation"": 20, ""magic"": magic, ""comment"": ""Turing_Bivariate"",","2026-04-21"
"omega_turing_live.py","FatTail_Close","149","""deviation"": 20, ""magic"": 777777, ""comment"": ""FatTail_Close"", ""type_time"": mt5.ORDER_TIME_GTC, ""type","2026-04-21"
"omega_v550_realtime_mt5_v550.py","550550","28","'MAGIC': 550550,","2026-05-03"
"omega_v550_realtime_mt5.py","OE_V5","173;208","""comment"": f""OE_V5_{self.cfg['TIMEFRAME_STR']}_{direction.upper()}"",","2026-05-03"
